full_name,url,cyclist_id,team_pcs_id
ABERASTURI Jon,https://www.strava.com/pros/16275051,1,"4831,1176,2736,4044,1111,1773"
ABRAHAMSEN Jonas,https://www.strava.com/athletes/3249116,2,"1420,1363,1573"
ACKERMANN Pascal,https://www.strava.com/pros/12274527,3,"2171,1411"
ADRIÀ Roger,https://www.strava.com/athletes/6390713,4,7807
AFFINI Edoardo,https://www.strava.com/pros/37167909,5,"1207,1330,2702"
AGIRRE Jon,,6,7807
ALAPHILIPPE Julian,,7,"1805,1328"
ALBA Juan Diego,https://www.strava.com/athletes/38162237,8,"2040,1617"
ALBANESE Vincenzo,https://www.strava.com/pros/3488983,9,"4723,3345"
ALEOTTI Giovanni,https://www.strava.com/athletes/21536765,10,"6076,1411"
ALLEGAERT Piet,https://www.strava.com/pros/4111169,11,"1136,1453"
ALMEIDA João,,12,"1458,2355,1328"
ALONSO Mikel,,13,4831
AMADOR Andrey,https://www.strava.com/athletes/1593769,14,"1423,1109,2040"
AMEZQUETA Julen,https://www.strava.com/pros/1790897,15,"1181,1111"
ANACONA Winner,https://www.strava.com/pros/12542977,16,"1253,1107,2040"
ANDERSEN Idar,https://www.strava.com/athletes/10443289,17,1420
ANDERSON Edward,https://www.strava.com/athletes/2346552,18,"1100,1458"
ANGULO Antonio,,19,"1089,2738,4831,1250"
ANIOLKOWSKI Stanislaw,https://www.strava.com/athletes/27483509,20,"1482,1120,3934,2368"
APARICIO Mario,https://www.strava.com/athletes/7985316,21,1109
APERS Ruben,,22,"1453,1944"
ARAIZ Sergio,,23,7807
ARANBURU Alex,https://www.strava.com/athletes/7094043,24,"1375,1111,2736"
ARANBURU Jokin,https://www.strava.com/athletes/26726869,25,4831
ARASHIRO Yukiya,https://www.strava.com/athletes/12337203,26,"2691,3814,1175,4012,1253,4024"
ARCAS Jorge,https://www.strava.com/pros/2276607,27,2040
ARCHBOLD Shane,,28,"1411,1328,1069,5643,1459,3866"
ARCHIBALD John,,29,"5609,4723"
ARDILA Andrés Camilo,,30,1253
ARENSMAN Thymen,https://www.strava.com/athletes/1936233,31,"1360,2702"
ARISTI Mikel,,32,"4831,4044,2736,4014"
ARMÉE Sander,,33,"1453,2088,1324,1293"
ARMIRAIL Bruno,https://www.strava.com/pros/2192184,34,"1187,1969"
ARNDT Nikias,,35,"1360,1264"
ARROYAVE Daniel,,36,"4000,4939,4954"
ARU Fabio,https://www.strava.com/pros/28635374,37,"1293,1253,1375"
ASGREEN Kasper,https://www.strava.com/pros/36356974,38,"1607,2111,1328"
AULAR Orluis,https://www.strava.com/athletes/17546094,39,"1273,1111,1721"
ÁVILA Edwin,https://www.strava.com/athletes/6094073,40,"2407,1109,2738,6694,1141"
AYUSO Juan,https://www.strava.com/athletes/10780095,41,"2214,1253"
AZPARREN Xabier Mikel,,42,4831
AZURMENDI Ibai,https://www.strava.com/athletes/3060100,43,4831
BACKAERT Frederik,https://www.strava.com/pros/23726463,44,"1490,4627"
BADILATTI Matteo,https://www.strava.com/athletes/4419459,45,"1436,2738,1187"
BAGIOLI Andrea,https://www.strava.com/athletes/19593505,46,"2214,1328"
BAGIOLI Nicola,https://www.strava.com/athletes/2476243,47,"2925,1122,4627"
BAGÜES Aritz,https://www.strava.com/pros/1126708,48,"2736,4044,1111"
BAIS Davide,https://www.strava.com/athletes/2566327,49,"6076,4723"
BAIS Mattia,https://www.strava.com/athletes/2573969,50,"6076,2925"
BAKELANTS Jan,https://www.strava.com/pros/3943249,51,"1490,1258,1453,1328,1360,1060,2088"
BALLARIN Iker,,52,4831
BALLERINI Davide,https://www.strava.com/athletes/1930273,53,"1375,2355,1511,1328,2925"
BARBERO Carlos,,54,"4044,1111,2040,1293"
BARBIER Pierre,,55,"1346,4014"
BARBIER Rudy,https://www.strava.com/athletes/7019829,56,"1346,1060,2738"
BARCELÓ Fernando,https://www.strava.com/pros/3943346,57,"2736,1136"
BARDET Romain,http://www.strava.com/pros/1630132,58,"1360,1060"
BARGUIL Warren,https://www.strava.com/pros/722861,59,"1360,1107"
BARRAINKUA AGIRRE Ainhize,,60,7556
BARRENETXEA Jon,https://www.strava.com/pros/3028726,61,1111
BARTA Will,https://www.strava.com/pros/831403,62,"1458,1103,4000"
BARTHE Cyril,,63,"2736,4627"
BARTOLOZZI Andrea,https://www.strava.com/athletes/26007448,64,1181
BAŠKA Erik,,65,"2884,1805,1165,1411"
BASSETT Stephen,https://www.strava.com/pros/622396,66,"1137,2239,1235,1227"
BASSO Leonardo,,67,1423
BATTAGLIN Enrico,https://www.strava.com/pros/3018523,68,"1233,3345,1330,3814"
BATTISTELLA Samuele,https://www.strava.com/athletes/16571022,69,"1375,1293,3105"
BAUER Jack,,70,"1207,1170,1328,4000"
BAUHAUS Phil,https://www.strava.com/pros/2217800,71,"1360,1411,3814,1445"
BAYER Tobias,https://www.strava.com/athletes/8409483,72,"1461,1100"
BEADLE Hamish,,73,1430
BEAR Ido,,74,
BEHRINGER Oliver,https://www.strava.com/athletes/1597609,75,1430
BELLETTI Manuel,https://www.strava.com/pros/2508843,76,"1060,3345,1181,2925,4723"
BELLICAUD Jeremy,https://www.strava.com/athletes/7652767,77,1490
BEN MOSHE Yuval,https://www.strava.com/athletes/3409968,78,"2738,6694"
BENEDETTI Cesare,https://www.strava.com/athletes/1326031,79,1411
BENHAMOUDA Mehdi,,80,1430
BENNETT George,https://www.strava.com/pros/880187,81,"2325,1458,1258,1330"
BENNETT Sam,,82,"1411,1328,1069"
BENNETT Sean,https://www.strava.com/athletes/326585,83,"4000,1069,1458,1227,3377,1293"
BENOIST Antoine,https://strava.com/athletes/8216019,84,"8393,1100"
BENOOT Tiesj,https://www.strava.com/pros/1128302,85,"1360,2088"
BEPPU Fumiyuki,https://www.strava.com/pros/6068080,86,"4000,1335,4014,1467,1258,1207,1360"
BERHANE Natnael,https://www.strava.com/athletes/51821945,87,"1293,1136,1175"
BERNAL Egan,https://www.strava.com/pros/2119306,88,"1423,2925"
BERNARD Julien,https://www.strava.com/pros/1903938,89,1258
BERRADE Urko,https://www.strava.com/athletes/13308515,90,"7807,2736"
BERTAZZO Liam,,91,"2355,1181"
BERTHET Clément,,92,4014
BERWICK Sebastian,,93,"2738,3053"
BETTIOL Alberto,https://www.strava.com/pros/16874183,94,"1103,2325,4000"
BEULLENS Cédric,https://www.strava.com/pros/5250418,95,1453
BEVILACQUA Mattia,,96,1181
BEVILACQUA Simone,,97,1181
BEVIN Patrick,,98,"4000,2738,1103,1098,1197"
BEWLEY Sam,,99,"1335,1458,1207"
BIDARD François,https://www.strava.com/pros/2916501,100,1060
BIERMANS Jenthe,https://www.strava.com/athletes/2305481,101,"1233,2702,2367,2738"
BILBAO Pello,,102,"1111,3814,1375,1176,4831"
BISOLTI Alessandro,,103,"3345,1181,1511,2925,1233,1122"
BISSEGGER Stefan,https://www.strava.com/athletes/4671192,104,"2264,4000,5649"
BIZKARRA Mikel,https://www.strava.com/athletes/3673069,105,"4831,2423,2736,4044"
BJERG Mikkel,,106,"1253,1458,3007"
BLIKRA Erlend,https://www.strava.com/athletes/4013766,107,"1420,1363"
BOARO Manuele,https://www.strava.com/athletes/2323390,108,"2884,1375,3814"
BOASSON HAGEN Edvald,,109,"1423,1398,1175,1216,1293"
BODNAR Maciej,,110,"2884,1408,1411,2325"
BOEV Igor,https://www.strava.com/athletes/36495113,111,"1508,1223"
BOHLI Tom,https://www.strava.com/athletes/41905231,112,"1103,1136,1253"
BOILEAU Alan,,113,4627
BOIVIN Guillaume,https://www.strava.com/athletes/616061,114,"2325,1235,1316,2738"
BOL Cees,https://www.strava.com/athletes/1331421,115,"2702,1331,1360"
BOL Jetse,https://www.strava.com/pros/588876,116,"1331,2998,1109,1473,1330"
BONIFAZIO Leonardo,https://www.strava.com/athletes/9722733,117,"2735,1175"
BONIFAZIO Niccolò,https://www.strava.com/pros/1554175,118,"1253,3814,1258,1175"
BONNAMOUR Franck,https://www.strava.com/pros/4018952,119,"4627,1107"
BONNET William,https://www.strava.com/pros/6998219,120,"1187,1096,6578,1175"
BOOKWALTER Brent,https://www.strava.com/athletes/26475512,121,"1103,1207,1098"
BOU Joan,https://www.strava.com/athletes/11168033,122,"4831,1122"
BOUCHARD Geoffrey,https://www.strava.com/pros/104028,123,1060
BOUDAT Thomas,https://www.strava.com/pros/14201933,124,"1175,1107"
BOUET Maxime,https://www.strava.com/pros/7331365,125,"1107,1061,1328,1060"
BOUHANNI Nacer,https://www.strava.com/pros/48143759,126,"1107,1187,1136"
BOUWMAN Koen,https://www.strava.com/pros/1993533,127,"1330,2702,1153"
BRAMBILLA Gianluca,,128,"1328,1429,1258,3345"
BRAND Sam,https://www.strava.com/pros/1170160,129,1430
BRÄNDLE Matthias,https://www.strava.com/pros/266080,130,"1411,1258,1570,1169,1396,1198,2738"
BRAVO Garikoitz,https://www.strava.com/athletes/26353981,131,"1089,1176,4831,2736,1111"
BRENNER Marco,,132,1360
BRITTON Rob,https://www.strava.com/pros/1084629,133,"1409,1235,1419,1098"
BROWN Connor,https://www.strava.com/athletes/20167511,134,"3105,1293,4890"
BROWN Nathan,https://www.strava.com/pros/259470,135,"1458,4000,1235"
BRUNEL Alexys,https://www.strava.com/athletes/8411551,136,"1187,5638"
BRUSSENSKIY Gleb,,137,"2422,1375"
BUCHMANN Emanuel,https://www.strava.com/pros/2685219,138,"2171,1411,1514"
BUITRAGO Santiago,,139,3814
BURGAUDEAU Mathieu,https://www.strava.com/athletes/12274525,140,1175
BURGHARDT Marcus,https://www.strava.com/pros/1803986,141,"1216,1411,1103"
BURKE Jack,,142,
BYSTRØM Sven Erik,https://www.strava.com/athletes/2542098,143,"1253,1233,1363"
CABEDO Óscar,https://www.strava.com/athletes/5762377,144,1109
CABOT Jérémy,,145,"1346,1175"
CAICEDO Jonathan Klever,,146,"3045,3925,7174,4000"
CALLE Juan Fernando,https://www.strava.com/pros/48935268,147,1111
CALMEJANE Lilian,https://www.strava.com/pros/1805247,148,"1175,1060"
CAM Maxime,https://www.strava.com/athletes/3966534,149,"4627,1107"
CAMARGO Diego Andrés,,150,"4000,1617,6363"
CAMPENAERTS Victor,https://www.strava.com/pros/620617,151,"1330,1293,1453,2088"
CANAL Carlos,https://www.strava.com/pros/10941882,152,1109
CAÑAVERAL Johnatan,https://www.strava.com/athletes/8367340,153,"3345,3045,4912"
CANOLA Marco,https://www.strava.com/athletes/13759019,154,"1211,1122,3345,1508"
CANTÓN Isaac,https://www.strava.com/pros/8619413,155,"1109,4723"
CAPECCHI Eros,https://strava.com/athletes/7664988,156,"1328,2325,3814,1375,2040,1198"
CAPIOT Amaury,https://www.strava.com/pros/2613903,157,"1453,1107"
CARAPAZ Richard,https://www.strava.com/athletes/15104335,158,"2040,3045,1423"
CARBONI Giovanni,https://www.strava.com/athletes/20511815,159,"2420,3345,2355"
CARISEY Clément,https://www.strava.com/athletes/1577875,160,"2738,4014"
CARPENTER Robin,https://www.strava.com/pros/188840,161,"1554,1235,1516"
CARR Simon,https://www.strava.com/athletes/3611828,162,"4014,4000"
CARRETERO Héctor,,163,2040
CARTHY Hugh,,164,"1111,4000,1336"
CARUSO Damiano,https://www.strava.com/pros/4084289,165,"1402,2325,1103,3814"
CARVALHO Andre,https://www.strava.com/athletes/2973929,166,"3143,1458,1136"
CASTRILLO Jaime,https://www.strava.com/pros/3983729,167,"7807,2040"
CASTRIQUE Jonas,https://www.strava.com/athletes/2373068,168,"1533,1482"
CASTROVIEJO Jonathan,,169,"2040,4044,1176,1423"
CATAFORD Alexander,https://www.strava.com/athletes/3490359,170,"3332,1211,2239,2738,1779"
CATALDO Dario,,171,"2325,1423,1375,2040,1328"
CATTANEO Mattia,https://www.strava.com/athletes/10887608,172,"2925,1328,1253"
CAVAGNA Rémi,https://www.strava.com/pros/2203430,173,"1328,1805"
CAVENDISH Mark,https://www.strava.com/athletes/305159,174,"3814,1424,1293,1216,1328,1423"
CEPEDA Jefferson Alexander,,175,"2925,7174"
CEPEDA Jefferson Alveiro,,176,"7174,3889,1111"
CERNÝ Josef,https://www.strava.com/pros/323461,177,"1774,1325,1328,1120,1103"
CHAMPION Thomas,,178,1136
CHAMPOUSSIN Clément,https://www.strava.com/athletes/3429256,179,1060
CHARMIG Anthon,https://www.strava.com/athletes/4027056,180,"1383,1420,1607,7701"
CHAVES Esteban,https://www.strava.com/athletes/4119801,181,"1141,1207"
CHEREL Mikaël,https://www.strava.com/pros/2136208,182,"1187,1060"
CHERKASOV Nikolay,https://www.strava.com/athletes/20388790,183,1508
CHERNETSKI Sergei,,184,"1508,1233,1111,1375,1223"
CHEVALIER Maxime,,185,4627
CHIRICO Luca,https://www.strava.com/athletes/46449479,186,"3345,2355,2925,1455"
CHRISTIAN Mark,,187,"4723,3894,1069,2755,3866,1419"
CICCONE Giulio,https://www.strava.com/pros/29028250,188,"1258,3345"
CIMA Damiano,,189,"1508,1122"
CIMA Imerio,https://www.strava.com/athletes/37932549,190,"1122,1508"
CIMOLAI Davide,https://www.strava.com/pros/20904837,191,"2738,1187,1253,2325"
CLAEYS Dimitri,https://www.strava.com/pros/4980290,192,"1411,1228,1902,1490,1465,1136,1293"
CLANCY Stephen,,193,1430
CLARKE Simon,https://strava.com/athletes/11460770,194,"1059,4000,1375,1293,1207,1361,1181"
COLBRELLI Sonny,https://www.strava.com/athletes/2655853,195,"3814,3345"
COLLEONI Kevin,https://www.strava.com/athletes/3800500,196,"1207,6362"
COLMAN Alex,https://www.strava.com/pros/7604023,197,"3894,1453"
COMBAUD Romain,https://www.strava.com/athletes/5276222,198,"1969,1360,4014"
CONCA Filippo,https://www.strava.com/athletes/10925190,199,"2088,6362"
CONCI Nicola,https://www.strava.com/athletes/29535743,200,1258
CONSONNI Simone,https://www.strava.com/athletes/2824377,201,"1136,1253"
CONTI Valerio,,202,1253
CONTRERAS Rodrigo,,203,"2260,1617,1328,1463,1375"
COQUARD Bryan,https://www.strava.com/athletes/7633523,204,"1175,4627"
CORT Magnus,,205,"4000,1375,4009,1207,1382"
CORTJENS Ryan,https://strava.com/athletes/11328609,206,8393
COSNEFROY Benoît,,207,1060
COSTA Rui,https://www.strava.com/athletes/63456809,208,"1253,2040,1092"
COTÉ Pier-André,https://www.strava.com/athletes/1849243,209,"2239,1235"
COUSIN Jérôme,https://www.strava.com/pros/1789488,210,"1175,1136"
COVI Alessandro,https://www.strava.com/athletes/9286245,211,"2214,1253"
COVILI Luca,https://www.strava.com/athletes/9776534,212,3345
CRADDOCK Lawson,https://www.strava.com/pros/259263,213,"1360,1458,4000"
CRAS Steff,https://www.strava.com/pros/2195719,214,"2088,1233"
CUADRADO Unai,,215,4831
CUADROS Álvaro,https://www.strava.com/pros/3988420,216,"1111,1805"
CULLAIGH Gabriel,https://www.strava.com/pros/602548,217,"2755,2040,2702"
DAINESE Alberto,https://www.strava.com/pros/15121707,218,"2702,1360"
DAL-CIN Matteo,https://www.strava.com/pros/909835,219,"1235,2239"
DALLA VALLE Nicolas,https://www.strava.com/athletes/18885585,220,"1461,3345"
DAUGE Lucas,,221,1430
DAVIES Scott,https://www.strava.com/pros/568077,222,"1293,1737,2755,3814"
DAVY Clément,https://www.strava.com/pros/8843498,223,"5638,1187"
DE BACKER Bert,https://www.strava.com/pros/3283509,224,"4627,1239,1360"
DE BIE Sean,https://www.strava.com/pros/666711,225,"2088,1902,2690,1482,1513"
DE BOD Stefan,https://www.strava.com/athletes/3103884,226,"1375,1293,3105"
DE BONDT Dries,https://www.strava.com/athletes/1508855,227,"1933,1100,1902"
DE BONIS Matteo,https://www.strava.com/athletes/6392625,228,1181
DE BUYST Jasper,https://www.strava.com/athletes/84189953,229,"1453,2088,1458"
DE GENDT Aimé,https://www.strava.com/pros/5052874,230,"1490,1453"
DE GENDT Thomas,https://www.strava.com/pros/1855274,231,"2088,1453,1328,1465,4019,1185"
DE KEIJZER Gerd,,232,1430
DE KETELE Kenny,https://www.strava.com/pros/1644858,233,"1453,1104,1228"
DE KLEIJN Arvid,,234,"1382,1153,1268,1235,1945"
DE KORT Koen,https://www.strava.com/pros/2327652,235,"1331,1360,1375,1261,1258"
DE LA CRUZ David,https://www.strava.com/pros/2014488,236,"1253,1111,1411,1423,1328"
DE LA PARTE Víctor,,237,"1120,1111,1175,1103,1089,1436,1362,2040"
DE MARCHI Alessandro,https://www.strava.com/pros/9545283,238,"1103,2738,2925,2325"
DE PESTEL Sander,https://www.strava.com/pros/5501879,239,1453
DE PLUS Jasper,https://www.strava.com/pros/8064750,240,1490
DE PLUS Laurens,https://www.strava.com/pros/4049155,241,"1330,1328,1423"
DE ROSSI Lucas,,242,4014
DE TIER Floris,https://www.strava.com/pros/1129713,243,"1453,1330,1100"
DE VOS Adam,https://www.strava.com/pros/402858,244,"1235,2761"
DE VREESE Laurens,https://www.strava.com/pros/538528,245,"1375,1100,1490,1453"
DE VYLDER Lindsay,https://www.strava.com/pros/19308295,246,1453
DE WILDE Gilles,https://www.strava.com/athletes/6316317,247,1453
DE WINTER Ludwig,https://www.strava.com/pros/1763504,248,"1533,1490,1482"
DEBESAY Yakob,,249,"4014,5638"
DEBUSSCHERE Jens,https://www.strava.com/athletes/7556127,250,"4627,2088,1233"
DECLERCQ Benjamin,https://www.strava.com/pros/1023781,251,"1107,1453"
DECLERCQ Tim,https://www.strava.com/pros/1154552,252,"1453,1328"
DEGENKOLB John,https://www.strava.com/pros/6137589,253,"1216,1449,1360,1258,2088"
DEKKER David,https://www.strava.com/athletes/1439295,254,"1330,2702,1268"
DELACROIX Theo,https://www.strava.com/athletes/3602288,255,1490
DELAGE Mickaël,https://www.strava.com/pros/2004239,256,"2088,1187"
DELAPLACE Anthony,https://www.strava.com/pros/12853663,257,"4017,1107,1351"
DELETTRE Alexandre,,258,4014
DÉMARE Arnaud,https://www.strava.com/pros/1737657,259,1187
DENNIS Rohan,https://www.strava.com/athletes/3398184,260,"1331,1423,1397,3814,1103,1080,4000"
DENZ Nico,https://www.strava.com/pros/3423315,261,"1360,1060"
DEVENYNS Dries,https://www.strava.com/pros/3949717,262,"1570,2088,1328,1360"
DEVRIENDT Tom,https://www.strava.com/pros/7830934,263,"1651,1490"
DEWULF Stan,https://www.strava.com/athletes/3470393,264,"1060,2088"
DI RENZO Andrea,http://www.strava.com/athletes/9399506,265,"2706,1181"
DÍAZ José Manuel,https://www.strava.com/athletes/3407398,266,"4014,2738,1436"
DILLIER Silvan,https://www.strava.com/pros/12427912,267,"1436,1060,1100,1103"
DINA Márton,https://www.strava.com/pros/3310687,268,"4723,4920"
DLAMINI Nic,https://www.strava.com/athletes/44778602,269,"1293,3105"
DOCKER Mitchell,,270,"1360,4000,1207,1164"
DOMBROWSKI Joe,https://www.strava.com/pros/276702,271,"1458,4000,1253,1423"
DONOVAN Mark,https://www.strava.com/pros/1284150,272,"1360,2755"
DOUBEY Fabien,https://www.strava.com/pros/8819545,273,"1490,1175"
DOULL Owain,https://www.strava.com/athletes/280368,274,"2755,1069,1423"
DOWSETT Alex,https://www.strava.com/pros/505408,275,"1423,1458,2738,1233,2040"
DRUCKER Jempy,,276,"1103,1384,1490,1411,1136,1440"
DUCHESNE Antoine,https://www.strava.com/pros/1786916,277,"1187,1458,1175"
DUMOULIN Tom,,278,"1360,1330,1331"
DUNBAR Eddie,,279,"3866,1423,2348,1458"
DUPONT Timothy,https://www.strava.com/pros/1709131,280,"1228,1346,1490,1902,1482"
DURBRIDGE Luke,https://www.strava.com/athletes/1698342,281,"1207,1397"
DUVAL Julien,https://www.strava.com/pros/2191893,282,"1969,1346,1060"
EARLE Nathan,https://www.strava.com/pros/1005431,283,"1773,2738,1164,1197,1423"
EDET Nicolas,https://www.strava.com/pros/1621202,284,1136
EDMONDSON Alex,,285,1207
EEKHOFF Nils,https://www.strava.com/pros/3745308,286,"1360,3831"
EENKHOORN Pascal,https://www.strava.com/pros/1563189,287,1330
EG Niklas,https://www.strava.com/athletes/8516384,288,"1607,1258"
EGHOLM Jakob,https://www.strava.com/athletes/9680598,289,"1458,1607,3007,1258"
EIKING Odd Christian,https://www.strava.com/pros/601836,290,"1398,1490,1187"
EINHORN Itamar,https://www.strava.com/athletes/5096617,291,2738
EL CHOKRI Mehdi,,292,
EL FARES Julien,https://www.strava.com/pros/1710748,293,"1430,1136,1351,4014,4000"
ELISSONDE Kenny,http://www.strava.com/pros/1387645,294,"1423,1258,1187"
ELOSEGUI Iñigo,https://www.strava.com/athletes/2957127,295,2040
ERVITI Imanol,,296,2040
ETXEBERRIA Josu,https://www.strava.com/pros/13443879,297,1111
EVANS Alexander,https://www.strava.com/athletes/4663085,298,"1490,2702,4890"
EVENEPOEL Remco,https://www.strava.com/athletes/23069503,299,1328
EWAN Caleb,,300,"2088,1207"
EZQUERRA Jesús,https://www.strava.com/athletes/4743603,301,"2368,1109,1513,4825"
FABBRO Matteo,,302,"1233,1411"
FANCELLU Alessandro,https://www.strava.com/athletes/14866568,303,4723
FEDELI Alessandro,,304,"4014,2355"
FEDOROV Yevgeniy,,305,"2422,1375"
FELLINE Fabio,https://www.strava.com/athletes/15726977,306,"1375,1258,1198,2925"
FENG Chun Kai,,307,"3814,1253,1055,1134,2442"
FERASSE Thibault,,308,"1969,1346,4627"
FERNÁNDEZ Delio,,309,"4014,1495,1270,1800"
FERNÁNDEZ Rubén,https://www.strava.com/athletes/12607976,310,"2040,4831,1136,1111"
FERRON Valentin,,311,1175
FETTER Erik,https://www.strava.com/athletes/3909207,312,"4920,4723"
FINÉ Eddy,https://www.strava.com/athletes/2905568,313,1136
FINETTO Mauro,,314,"4014,2355,3345,1181,2325"
FIORELLI Filippo,https://www.strava.com/athletes/7178190,315,3345
FLÓREZ Miguel Eduardo,https://www.strava.com/athletes/29568372,316,"1181,2958,1107,2925"
FORMOLO Davide,https://www.strava.com/pros/1850959,317,"1253,1411,2325,4000"
FORTUNATO Lorenzo,https://www.strava.com/athletes/3125765,318,"4723,1181"
FOSS Tobias,,319,"1398,1330,1420"
FRAILE Omar,https://www.strava.com/pros/2962663,320,"1111,1375,4044,1293"
FRANK Mathias,,321,"1060,1103,1570,1199"
FRANKINY Kilian,https://www.strava.com/pros/1400765,322,"1187,1293,1103"
FRAPPORTI Marco,https://www.strava.com/pros/1841156,323,"3345,1181,2925,1511"
FRAPPORTI Mattia,https://www.strava.com/athletes/1783701,324,"2925,2355,4723"
FRISON Frederik,https://www.strava.com/athletes/28107247,325,2088
FROOME Chris,https://www.strava.com/pros/7491815,326,"5174,2738,1090,1423"
FUENTES Ángel,,327,1109
FUGLSANG Jakob,,328,"1383,1375,2884,1258"
GABBURO Davide,https://www.strava.com/athletes/4969603,329,"1181,3345,3332,2925"
GAILLARD Marlon,,330,1175
GALL Felix,https://www.strava.com/athletes/5060232,331,"1360,3831"
GALLOPIN Tony,,332,"1096,1136,1060,2088,1258"
GALVÁN Francisco,,333,7807
GAMPER Patrick,,334,"1411,4723,1461"
GANNA Filippo,https://www.strava.com/pros/3574069,335,"1423,1253"
GARCÍA PIERNA Carlos,,336,7807
GARCÍA CORTINA Iván,https://www.strava.com/pros/1292406,337,"3814,2040,1805"
GARCIA GONZALEZ Sergio,,338,4723
GARCÍA Jhojan,https://www.strava.com/athletes/6976598,339,"1111,3925,2998"
GARCÍA PIERNA Raúl,,340,7807
GAROSIO Andrea,https://www.strava.com/athletes/58403706,341,"2420,3814,1181,3345"
GARRISON Ian,https://www.strava.com/athletes/2436476,342,"1458,1328"
GASTAUER Ben,https://www.strava.com/athletes/28183022,343,1060
GAUDIN Damien,,344,"1060,1175,1969"
GAUDU David,https://www.strava.com/pros/4774417,345,1187
GAUTIER Cyril,https://www.strava.com/athletes/16442305,346,"1107,4627,1060,1175"
GAVAZZI Francesco,https://www.strava.com/athletes/21712783,347,"1375,1181,2925,1253,4723"
GAVIRIA Fernando,,348,"1253,1328,2260"
GAZE Samuel,https://www.strava.com/athletes/14396227,349,"8393,1100"
GEBREMEDHIN Awet,,350,"2738,6694,3915"
